"lon","lat","present"
-87.6041417,34.868688,1
-87.1912919,34.6386747,1
-87.7333333,34.8,0
-87.0592352,34.0297881,1
-86.4934089,34.2016687,1
-86.6855493,34.5012877,0
-86.2030371,34.8680404,1
-85.7110414,34.0278089,1
-85.9267589,34.3039507,1
-85.9258408,33.1913463,1
-85.7518379,33.6257237,1
-85.7511714,33.6076572,1
-86.1153789,33.8116977,1
-86.6010915,33.4549551,1
-86.8721632,33.6822947,1
-87.5888357,33.8481773,1
-87.0044623,33.5263185,1
-87,33.15,0
-88.1712189,33.4765537,1
-88.3172665,32.1307226,1
-87.8359539,32.2782397,1
-87.2158334,32.442715,1
-87.5153953,32.7846996,1
-86.2754989,32.1312407,1
-86.7017714,32.6594297,1
-86.1307777,32.5890245,1
-85.5530853,32.3116131,1
-85.2044589,32.8854647,1
-85.0626449,32.1473077,1
-85.5895835,31.3388298,1
-85.2112631,31.0081277,1
-85.8156189,31.7165541,1
-86.250378,31.5859083,1
-86.6131969,31.4439507,1
-86.8858316,30.9977072,1
-87.2090516,31.7399574,1
-87.8321999,31.0969767,1
-87.1203132,31.3180673,1
-88.3131441,31.632605,1
-88.1125479,30.2540327,1
-87.5183809,30.2818577,1
-87.6833489,30.3701137,1
-87.1007539,33.1156047,1
-86.6965489,33.5909437,0
-87.7621469,34.1311637,1
-86.4773569,34.3142387,1
-87.8205274,33.1379607,1
-88.1229309,32.6807827,1
-87.7643955,32.8055085,1
-86.7118894,32.3276808,1
-85.7164607,32.5816871,1
-88.38516,31.2926075,1
-87.7767179,31.7097587,1
-86.0994295,31.2223969,1
-85.6508719,31.6676037,1
-86.2574629,33.4572917,1
-87.3907904,34.4236313,1
-85.565583,34.5810567,1
-88.0092154,33.2811827,1
-87.4241383,33.2638251,1
-86.4457647,33.718519,1
-85.4680639,33.9282957,1
-87.5381089,32.4128107,1
-86.1118009,32.8224147,1
-85.8711729,32.4341515,1
-87.0654001,31.2283931,1
-86.270046,31.4086552,1
-85.4115544,31.0322875,1
-88.3523559,30.9422777,1
-87.7299991,30.3038647,0
-87.3837235,34.7961251,1
-86.9887629,34.9292307,1
-86.0671689,34.9895137,1
-87.2543912,34.6030578,1
-86.4734413,34.2126918,1
-86.6855493,34.5012877,0
-85.9323092,34.3086241,1
-85.7466579,33.6296357,1
-87.8350582,31.0706664,1
-88.1123348,30.248466,0
-87.5183917,30.2816323,1
-87.6024375,30.370222,1
-85.692643,32.580056,1
-86.3312989,33.2905307,1
-85.450491,33.9413322,1
-86.1117753,32.822371,1
-88.0675579,34.2884067,1
-86.6604516,34.8223669,0
-85.8594579,34.7575557,1
-88.1671198,33.6853138,1
-87.1378259,33.8168747,0
-86.3813006,33.8564625,1
-86.1573541,33.3180161,1
-85.464604,33.1844368,1
-87.3792753,32.1930088,1
-86.5697685,32.4860839,1
-85.2532189,32.5033347,1
-88.2207774,31.1365731,1
-87.6361759,31.7459607,1
-86.1853409,31.9052647,1
-85.2558091,31.7296264,1
-88.3854517,30.4866365,0
-87.6374375,30.803493,1
-87.1416542,33.8163386,1
-86.4676524,34.4761164,1
-86.2041575,33.5919601,1
-87.2422029,32.6683647,1
-87.723299,31.3769106,1
-87.969378,30.688444,1
-87.15,34.95,0
-88.089857,34.664049,1
-141.2785932,64.552796,0
-144.0890949,65.7907167,0
-146.727508,65.2698047,0
-146.0769649,64.2556227,0
-148.417832,65.5631957,0
-143.1732939,62.5131787,0
-143.8893879,62.7247807,0
-143.9862892,63.6152141,0
-144.828553,62.4798162,0
-141.8052529,63.0127307,0
-146.0607299,63.0531897,0
-147.944427,63.2771884,0
-148.86,63.3793062,0
-150.0484937,63.5152626,0
-149.434341,60.1279267,0
-149.842561,61.4001137,0
-150.274628,60.4588347,0
